X,Y,objectid,businessunit_name,businessunit_number,businessunit_banner_description,businessunit_type_description,businessunit_isstoreopen,facilitydetails_location_locati,facilitydetails_location_loca_1,facilitydetails_location_loca_2,facilitydetails_location_loca_3,facilitydetails_location_loca_8,businessunit_status_code,op_status,Modified_Operating_Hours_,Pharmacy_open_to_public_,Fuel_Station_open_to_public_,bu_num,Grocery_delivery_service,Grocery_delivery_status,Online_grocery_pickup,Online_grocery_pickup_status
-84.031192,43.4337380000001,23357,"SAGINAW, MI",2644,WM Supercenter,Retail,true,5825 BROCKWAY RD,SAGINAW,SAGINAW,MI,48638-4474,5,Open,,Y,Y,2644,No,Available,Yes,Available
-78.004293,37.060797,23358,"BLACKSTONE, VA",2645,WM Supercenter,Retail,true,1451 S MAIN ST,BLACKSTONE,NOTTOWAY,VA,23824-2626,2,Open,,Y,Y,2645,Yes,Available,Yes,Available
-80.708539,37.329419,23359,"PEARISBURG, VA",2646,WM Supercenter,Retail,true,160 KINTER WAY,PEARISBURG,GILES,VA,24134-2218,2,Open,,Y,Y,2646,Yes,,Yes,
-78.531107,38.868956,23360,"WOODSTOCK, VA",2647,WM Supercenter,Retail,true,461 W RESERVOIR RD,WOODSTOCK,SHENANDOAH,VA,22664-2005,2,Open,,Y,Y,2647,No,Available,Yes,Available
-122.177726,37.7146530000001,23361,"SAN LEANDRO, CA EF",2648,Wal-Mart,Retail,true,1919 DAVIS ST,SAN LEANDRO,ALAMEDA,CA,94577-1208,2,Open,,Y,Y,2648,No,,Yes,
-96.967748,32.920622,23362,"IRVING (NORTH), TX",2649,WM Supercenter,Retail,true,1635 MARKET PLACE BLVD,IRVING,DALLAS,TX,75063-7239,2,Open,,Y,Y,2649,Yes,Available,Yes,Available
-96.306143,32.7397920000001,23363,"TERRELL, TX",265,WM Supercenter,Retail,true,1900 W MOORE AVE,TERRELL,KAUFMAN,TX,75160-2346,5,Open,,Y,Y,265,No,,Yes,
-74.9628089999999,40.0832820000001,23364,"PHILADELPHIA (NE), PA",2650,WM Supercenter,Retail,true,4301 BYBERRY ROAD,PHILADELPHIA,PHILADELPHIA,PA,19154-3112,5,Open,,Y,Y,2650,No,Available,Yes,Available
-74.583746,40.5467130000001,23365,"MANVILLE, NJ",2651,WM Supercenter,Retail,true,100 NORTH MAIN STREET,MANVILLE,SOMERSET,NJ,08835-1358,5,Open,,Y,Y,2651,No,Not Available,Yes,
-107.825679,35.1247320000001,23366,"GRANTS, NM",2652,WM Supercenter,Retail,true,1000 ROBERT RD,GRANTS,CIBOLA,NM,87020-4012,2,Open,,Y,Y,2652,Yes,Available,Yes,Available
-103.319111,34.1981440000001,23367,"PORTALES, NM",2653,WM Supercenter,Retail,true,1604 E SPRUCE ST,PORTALES,ROOSEVELT,NM,88130-9489,2,Open,,Y,Y,2653,No,,Yes,
-85.6853849999999,36.7238320000001,23368,"TOMPKINSVILLE, KY",2654,WM Supercenter,Retail,true,1650 EDMONTON RD,TOMPKINSVILLE,MONROE,KY,42167-9403,2,Open,,Y,Y,2654,No,,No,
-106.067639,36.0154460000001,23369,"ESPANOLA, NM",2656,WM Supercenter,Retail,true,1610 N RIVERSIDE DR,ESPANOLA,RIO ARRIBA,NM,87532-8063,2,Open,,Y,Y,2656,No,Available,Yes,Available
-88.1971149999999,43.395589,23370,"WEST BEND, WI",2658,WM Supercenter,Retail,true,1515 W PARADISE DR,WEST BEND,WASHINGTON,WI,53095-9794,2,Open,,Y,Y,2658,Yes,Available,Yes,Available
-70.235287,43.7202490000001,23371,"FALMOUTH, ME",2659,Wal-Mart,Retail,true,206 US ROUTE 1,FALMOUTH,CUMBERLAND,ME,04105-2073,2,Open,,Y,Y,2659,No,,Yes,
-97.101725,32.930861,23372,"SOUTHLAKE, TX",266,WM Supercenter,Retail,true,1601 W STATE HIGHWAY 114,GRAPEVINE,TARRANT,TX,76051-8651,5,Open,,Y,Y,266,Yes,Available,Yes,Available
-71.1130029999999,42.570505,23373,"NORTH READING, MA",2660,Wal-Mart,Retail,true,72 MAIN ST,NORTH READING,MIDDLESEX,MA,01864-2289,2,Open,,Y,Y,2660,Yes,,Yes,
-79.990957,37.7673780000001,23374,"COVINGTON, VA",2662,WM Supercenter,Retail,true,313 THACKER AVE,COVINGTON,COVINGTON CITY,VA,24426-2264,2,Open,,Y,Y,2662,Yes,Available,Yes,Available
-78.7503819999999,40.475399,23375,"EBENSBURG, PA",2663,WM Supercenter,Retail,true,300 WALMART DR,EBENSBURG,CAMBRIA,PA,15931-4212,2,Open,,Y,Y,2663,No,,Yes,Not Available
-78.980652,40.927754,23376,"PUNXSUTAWNEY, PA",2664,WM Supercenter,Retail,true,21920 ROUTE 119,PUNXSUTAWNEY,JEFFERSON,PA,15767-7975,2,Open,,Y,Y,2664,No,,No,
-89.828908,30.308213,23377,"SLIDELL, LA",2665,WM Supercenter,Retail,true,167 NORTHSHORE BLVD,SLIDELL,ST. TAMMANY PARISH,LA,70460-6836,2,Open,,Y,Y,2665,No,Not Available,Yes,Not Available
-83.001311,39.8893610000001,23378,"COLUMBUS (S), OH",2666,Wal-Mart,Retail,true,3579 S HIGH ST,COLUMBUS,FRANKLIN,OH,43207-4008,2,Open,,Y,Y,2666,No,,No,
-96.6892319999999,32.793803,23379,"DALLAS (E), TX",2667,WM Supercenter,Retail,true,7401 SAMUELL BLVD,DALLAS,DALLAS,TX,75228-6166,2,Open,,Y,Y,2667,Yes,Available,Yes,Available
-87.866846,42.6943870000001,23380,"RACINE, WI",2668,WM Supercenter,Retail,true,3049 OAKES RD,STURTEVANT,RACINE,WI,53177-1661,2,Open,,Y,Y,2668,Yes,Available,Yes,Available
-94.4783879999999,37.1335070000001,23381,WEBB CITY MO,267,WM Supercenter,Retail,true,1212 S MADISON ST,WEBB CITY,JASPER,MO,64870-2834,5,Open,,Y,Y,267,No,Available,No,Available
-95.43279,30.1211220000001,23382,HW HOUSTON CENTRAL FILL,2670,WM On Campus/RX Facilities,Retail,true,608 SPRING HL DR 3 STE 300,SPRING,HARRIS,TX,77386-6032,2,Open,,Y,Y,2670,,,,
-111.838037,33.289249,23383,CHANDLER AZ,2671,WM Supercenter,Retail,true,1175 S ARIZONA AVE,CHANDLER,MARICOPA,AZ,85286-6504,2,Open,,Y,Y,2671,No,Available,Yes,Available
-102.602019,38.086806,23384,"LAMAR, CO",2672,WM Supercenter,Retail,true,1432 E OLIVE ST,LAMAR,PROWERS,CO,81052-2958,2,Open,,Y,Y,2672,No,Available,No,Available
-80.358892,41.4154340000001,23385,"GREENVILLE, PA",2674,WM Supercenter,Retail,true,45 WILLIAMSON RD,GREENVILLE,MERCER,PA,16125-1253,2,Open,,Y,Y,2674,No,,Yes,Available
